,issueNumber,title,description,FIGDiagnostic,labels,dateMade
1370,1370,PATH contains ~/.local/bin and ~/.fig/bin: Path does not contain ~/.local/bin,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Fig doesn't work once I restart my laptop. I mostly have to uninstall and install fig to get it to work on both Zsh and VSCode terminals for some reason.
Details:
OS Fig Shell
macOS 12.3.1 (21E258) 1.0.57 -zsh
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"Apr 25, 2022, 9:51 AM PDT"
1371,1371,Sign-up workflow loops back to email confirmation,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
When going through the sign-up workflow, upon progressing past the email sign-up and ""How did you hear about Fig"" dialog boxes, the window loops back to the email confirmation screen. This is still working and interactive, and sends another confirmation code to the email address. When force-quitting Fig and restarting, it appears like Fig is set up properly.
Details:
macOS Fig Shell
10.15.7 Version 1.0.57 (B440) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['bug', 'codebase:mission-control']","Apr 25, 2022, 2:57 PM PDT"
1372,1372,"fig not working in bash, built in terminal, macos 10.14.6","Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Opened Terminal today and fig no longer works. Restarted it, reinstalled it, updated it, nothing I can find changes it. Debugger shows 'not linked to terminal session'.
Suggestions welcome!
Details:
OS Fig Shell
macOS 10.14.6 (18G9323) 1.0.57 /bin/bash
fig diagnostic",No Fig Diagnostic Found,['None yet'],"Apr 25, 2022, 4:50 PM PDT"
1373,1373,Autocomplete window flickers off after ~1 sec,"Description:
When i'm in my terminal trying to autocomplete, it lasts less than 1 second, i can't see anything. In that case it stops fulfilling its function as an extension.
Grabacion.de.pantalla.2022-04-25.a.la.s.20.00.59.mov
Details:
macOS Fig Shell
12.3.1 Version 1.0.57 (B439) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['awaiting user reply', 'bug', 'codebase:figterm']","Apr 25, 2022, 5:02 PM PDT"
1374,1374,Fig cannot longer used due secure keyboard problem,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
secure keyboard is disabled in iTerm2 and terminal application but i can not use fig
Details:
OS Fig Shell
macOS 12.3.1 (21E258) 1.0.57 /bin/bash
fig diagnostic",No Fig Diagnostic Found,['None yet'],"Apr 26, 2022, 12:46 AM PDT"
1375,1375,debugger red dot/error loading spec,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
After newest update debugger shows with the red dot and info showed in the screenshot.
restarting fig and terminals didn't help. And im obviously connected to the internet so to be clear on that ;)
After running fig doctor I have this.
Worth to point out that Im using Visual Studio Code Insiders and fig works there. (Im assuming its looking for regular VSCode, not finding it and displays this msg.)
Also worth a note is that fig works in terminals, im getting popup window with commands etc.
Details:
macOS Fig Shell
12.3.1 Version 1.0.57 (B439) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['awaiting user reply', 'bug', 'codebase:autocomplete-app']","Apr 26, 2022, 1:18 AM PDT"
1376,1376,No such file or directory,"/Users/NAME/.zprofile:.:2: no such file or directory: /Users/NAME/.fig/shell/zprofile.pre.zsh
/Users/NAME/.zprofile:.:14: no such file or directory: /Users/NAME/.fig/shell/zprofile.post.zsh
If this is happening to you, please let us know! Running fig install --dotfiles should fix it.",No Fig Diagnostic Found,"['codebase:shell-integrations', 'type:bug']","Apr 26, 2022, 1:31 AM PDT"
1377,1377,Plugin store needs better onboarding,"One moderately confusing thing is that when I installed fig I went to the plugin store and saw things I already have installed in my shell (oh-my-z, zsh-completion, zsh-suggest) -- and it was unclear to me if I still needed to install them into fig.",No Fig Diagnostic Found,"['codebase:plugins', 'type:feature-request']","Apr 26, 2022, 1:47 AM PDT"
1378,1378,Fish shell crashes randomly on new tab,"It was causing incredibly frustrating issues with the fish [shell] which took about days to figure out was the culprit of the crashing. fish-shell/fish-shell#8390 fish-shell/fish-shell#8387 (comment)
This is very strange. I use fish, and haven't ever encountered this bug. If this is happening for you, please let us know so we can look into it 🙂",No Fig Diagnostic Found,"['codebase:shell-integrations', 'shell:fish', 'type:bug']","Apr 26, 2022, 2:28 AM PDT"
1379,1379,"Fig errors (unknown cause, perhaps due to computer going to sleep)","Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
After my computer goes to sleep (I think this is the cause), fig stops working and I get this error in every shell/terminal:
thread 'main' panicked at 'failed printing to stdout: Broken pipe (os error 32)', library/std/src/io/stdio.rs:1164:9
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
Error with RUST_BACKTRACE=1
   0: _rust_begin_unwind
   1: core::panicking::panic_fmt
   2: std::io::stdio::_print
   3: <core::future::from_generator::GenFuture<T> as core::future::future::Future>::poll
   4: fig::cli::Cli::execute::{{closure}}
   5: <core::future::from_generator::GenFuture<T> as core::future::future::Future>::poll
   6: tokio::park::thread::CachedParkThread::block_on
   7: tokio::runtime::thread_pool::ThreadPool::block_on
   8: tokio::runtime::Runtime::block_on
   9: fig::main
note: Some details are omitted, run with `RUST_BACKTRACE=full` for a verbose backtrace.
Error with RUST_BACKTRACE=full
thread 'main' panicked at 'failed printing to stdout: Broken pipe (os error 32)', library/std/src/io/stdio.rs:1164:9
stack backtrace:
   0:        0x105b6bcc2 - <std::sys_common::backtrace::_print::DisplayBacktrace as core::fmt::Display>::fmt::h4cae82d438451481
   1:        0x105b9256b - core::fmt::write::hb68c3045179d0cad
   2:        0x105b6293e - std::io::Write::write_fmt::haf84c797e63d79f0
   3:        0x105b6e760 - std::panicking::default_hook::{{closure}}::he18137441e51da1f
   4:        0x105b6e446 - std::panicking::default_hook::ha3efe84526f027fa
   5:        0x105b6eefb - std::panicking::rust_panic_with_hook::h429a7ddefa5f0258
   6:        0x105b6ebe3 - std::panicking::begin_panic_handler::{{closure}}::h9b033a6b15b84a74
   7:        0x105b6c157 - std::sys_common::backtrace::__rust_end_short_backtrace::hcdd3bec8e0e38aa6
   8:        0x105b6e8aa - _rust_begin_unwind
   9:        0x105bcd653 - core::panicking::panic_fmt::hf7d6e5207e013f69
  10:        0x105b61948 - std::io::stdio::_print::hf472889da30bc373
  11:        0x10517d475 - <core::future::from_generator::GenFuture<T> as core::future::future::Future>::poll::h7f6736d0cbba5fa7
  12:        0x105129b09 - fig::cli::Cli::execute::{{closure}}::h928e261762edc88d
  13:        0x105184fe9 - <core::future::from_generator::GenFuture<T> as core::future::future::Future>::poll::h8df661b0c1d05059
  14:        0x1050374ac - tokio::park::thread::CachedParkThread::block_on::hb9dadf20e3a96a7e
  15:        0x1050c5079 - tokio::runtime::thread_pool::ThreadPool::block_on::hb251f67d1fda3190
  16:        0x10508fed1 - tokio::runtime::Runtime::block_on::h75075f7c50ae7a52
  17:        0x104f50f52 - fig::main::h143f14cbccab4216
  18:        0x104f84b36 - std::sys_common::backtrace::__rust_begin_short_backtrace::h0b97fc1b6af23f58
  19:        0x10508ef7c - std::rt::lang_start::{{closure}}::hf217a4bec99e392a
Details:
macOS Fig Shell
12.3.1 Version 1.0.57 (B439) /usr/local/bin/fish
fig diagnostic",No Fig Diagnostic Found,"['bug', 'codebase:cli']","Apr 26, 2022, 6:41 AM PDT"
1380,1380,Fig cant link to the current terminal,"Description:
Sometime Fig just can't link to the current terminal session. I have try fig source and fig doctor but nothing worked so far.
Details:
OS Fig Shell
macOS 12.3.1 (21E258) 1.0.57 /opt/homebrew/Cellar/bash/5.1.16/bin/bash
fig diagnostic",No Fig Diagnostic Found,['None yet'],"Apr 26, 2022, 7:41 AM PDT"
1381,1381,Not working at all although fig doctor says everything looks good,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
OS Fig Shell
macOS 12.3.1 (21E258) 1.0.57 /bin/bash
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"Apr 26, 2022, 4:23 PM PDT"
1382,1382,Brew upgrade can uninstall fig,"Two methods:
brew upgrade fig
brew upgrade --greedy",No Fig Diagnostic Found,"['codebase:_UNSURE_', 'type:bug']","Apr 27, 2022, 1:03 AM PDT"
1383,1383,"Configure ""only show on tab"" key","This is possible at the moment but it's unintuitive.
fig settings autocomplete.keybindings.shift+tab toggleAutocomplete
fig settings autocomplete.keybindings.tab ignore
It would be much easier if you could just set a key as the dedicated ""show fig"" key instead of having to unbind tab and bind it to something else, since now tab doesn't work to insert.",No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:feature-request']","Apr 27, 2022, 1:39 AM PDT"
1384,1384,Fig doesn't work on IntelliJ IDEA 2022.1,"Description:
Fig doesn't work on the IntelliJ terminal when I open a project by using the idea command.
And when I open directly the IDE, it is misplaced.
![Screen Shot 2022-04-27 at 16 07 13](https://user-images.githubusercontent.com/4095996/165602191-b0217b38-cf4f-4f1a-8654-a256b1f2bdfe.png)
PD1: Webstorm is working as expected.
I think it's related to integrations. Is there a way to delete IntelliJ fig integration for mac?
Details:
Intellij Build #IU-221.5080.210, built on April 12, 2022
OS Fig Shell
macOS 11.6.4 (20G417) 1.0.57 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"Apr 27, 2022, 12:14 PM PDT"
1385,1385,Autocomplete and suggestions stopped working,"Description:
I downloaded Fig and used it a bit without problem. However, today the autocomplete and the suggestions stopped working (in the terminal and in VS Code as well).
Screenshot
![2022-04-27 -Discord-Fig not linked to Terminal - Discord@2x](https://user-images.githubusercontent.com/17908630/165621401-2423063c-900b-417d-ad7f-170e501fca24.png)
Details:
OS Fig Shell
macOS 12.0.1 (21A559) 1.0.57 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['None yet'],"Apr 27, 2022, 12:35 PM PDT"
1386,1386,Timeout waiting for Input Method status -- Intellij Integration,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
I have run fig doctor in the affected terminal session
I have typed 'git ' and included a screenshot of the Debugger (click the Fig icon in the macOS menu bar)
Issue Details
Description:
Been trying to install the Intellij [Toolbox, 2022.1] integration with no luck. Upon clicking on Enable Input Method, nothing happens. After some time, the window from the screenshot below appears.
Same happens using the cli command
~ ❯❯❯ fig install --input-method
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Any ideas?
Environment
# Fig Diagnostics
## Fig details:
  - Fig version: Version 1.0.57 (B440) [ABC]
  - Bundle path: /Applications/Fig.app
  - Autocomplete: true
  - Settings.json: true
  - Accessibility: true
  - Number of specs: 0
  - Symlinked dotfiles: false
  - Only insert on tab: false
  - Keybindings path:
  - Installation Script: true
  - PseudoTerminal Path: /Users/carlomazzaferro/.krew/bin:/usr/local/opt/libpq/bin:/usr/local/opt/python@3.7/bin:/usr/local/opt/python@3.8/bin:/Users/carlomazzaferro/.cargo/bin:/Library/Frameworks/Python.framework/Versions/3.10/bin:/Applications/Sublime Text.app/Contents/SharedSupport/bin:/usr/local/bin:/usr/local/sbin:/usr/bin:/bin:/usr/sbin:/sbin:/Users/carlomazzaferro/.fig/bin:/Users/carlomazzaferro/.local/bin:/Users/carlomazzaferro/.poetry/bin:/usr/local/opt/libpq/bin:/usr/local/opt/python@3.7/bin:/usr/local/opt/python@3.8/bin:/Users/carlomazzaferro/.cargo/bin:/Library/Frameworks/Python.framework/Versions/3.10/bin:/Applications/Sublime Text.app/Contents/SharedSupport/bin:/usr/local/bin:/usr/local/sbin:/usr/bin:/bin:/usr/sbin:/sbin:/Users/carlomazzaferro/.fig/bin:/Users/carlomazzaferro/.local/bin:/Users/carlomazzaferro/.local/bin:/Users/carlomazzaferro/.foundry/bin:/bin
  - SecureKeyboardInput: false
  - SecureKeyboardProcess: <none>
## Hardware Info:
  - Model Name: MacBook Pro
  - Model Identifier: MacBookPro16,2
  - Chip:
  - Cores: 4
  - Memory: 32 GB
## OS Info:
  - macOS 11.6.3 (20G415)
## Environment:
  - User Shell: /bin/zsh
  - Current Directory: /Users/carlomazzaferro
  - CLI Installed: true
  - Executable Location: /usr/local/bin/fig
  - Current Window ID: 408/% (com.googlecode.iterm2)
  - Active Process: zsh (2370) - /dev/ttys001
  - Environment Variables:
    - TERM_SESSION_ID=w0t0p0:69C0B7F3-A948-4020-A6CB-F4276E514276
    - PATH=/Users/carlomazzaferro/.krew/bin:/usr/local/opt/libpq/bin:/usr/local/opt/python@3.7/bin:/usr/local/opt/python@3.8/bin:/Users/carlomazzaferro/.cargo/bin:/Library/Frameworks/Python.framework/Versions/3.10/bin:/Applications/Sublime Text.app/Contents/SharedSupport/bin:/usr/local/bin:/usr/local/sbin:/usr/bin:/bin:/usr/sbin:/sbin:/Users/carlomazzaferro/.fig/bin:/Users/carlomazzaferro/.local/bin:/Users/carlomazzaferro/.poetry/bin:/usr/local/opt/libpq/bin:/usr/local/opt/python@3.7/bin:/usr/local/opt/python@3.8/bin:/Users/carlomazzaferro/.cargo/bin:/Library/Frameworks/Python.framework/Versions/3.10/bin:/Applications/Sublime Text.app/Contents/SharedSupport/bin:/usr/local/bin:/usr/local/sbin:/usr/bin:/bin:/usr/sbin:/sbin:/Users/carlomazzaferro/.fig/bin:/Users/carlomazzaferro/.local/bin:/Users/carlomazzaferro/.local/bin:/Users/carlomazzaferro/.foundry/bin:/bin
    - TERM=xterm-256color
    - FIG_INTEGRATION_VERSION=8
    - FIG_TERM=1
    - FIG_TERM_VERSION=4.3.0
    - FIG_PID=2370
## Integrations:
  - SSH: false
  - TMUX: false
  - iTerm: installed!
  - Hyper: application is not present.
  - Visual Studio Code: application is not present.
  - Docker: false",No Fig Diagnostic Found,"['awaiting user reply', 'codebase:macos']","Apr 27, 2022, 1:02 PM PDT"
1387,1387,Fig degraded performance in other text searches,"Fig degraded performance in other text searches, like VS Code. Typing in browser and other places ended up being affected
Waiting for more info. If you're also seeing this, a screen recording would help a lot. Also, please take a note of the CPU/RAM usage of Fig in Activity Monitor (normally it should be quite low!)
Related: #1388",No Fig Diagnostic Found,['None yet'],"Apr 27, 2022, 8:57 PM PDT"
1388,1388,Randomly shows foreign-language characters,"it caused weird glitches like showing foreign language keys randomly
Waiting for more info. If you're also seeing this, a screen recording (⌘⇧5) would help a lot!!
Related: #1387",No Fig Diagnostic Found,['None yet'],"Apr 27, 2022, 8:57 PM PDT"
1389,1389,"Fig app displays ""Something went wrong :(""","This is a very generic issue. If this is happening for you, can you:
Right click the window
Click ""inspect element""
Click on the console tab
Take a screenshot, and post it in a comment",No Fig Diagnostic Found,"['codebase:_UNSURE_', 'placeholder', 'type:bug']","Apr 27, 2022, 11:22 PM PDT"
1390,1390,fig install --input-method fails for rubymine,"RubyMine 2021.3.3
brew install fig
=> fig was successfully installed!
fig install --input-method
=> Could not launch fig",No Fig Diagnostic Found,['None yet'],"Apr 27, 2022, 11:47 PM PDT"
1391,1391,Fig just stopped working,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
I have beed using Fig for 2 months. This morning it just stopped working.
I tried restarting Mac, restarting Fig, but it didn't help.
Details:
macOS Fig Shell
12.1.0 Version 1.0.57 (B439) /bin/zsh
fig diagnostic",,['None yet'],"Apr 28, 2022, 1:13 AM PDT"
1392,1392,Integrate with emacs libvterm (vterm mode),https://github.com/akermu/emacs-libvterm,No Fig Diagnostic Found,['type:integration-request'],"Apr 28, 2022, 2:56 AM PDT"
1393,1393,/.zshrc does not source post integration last | Path does not contain~/. local/bin | fig modifying zshrc file infinitely,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Very new to Fig after I installed it everything seemed fine when I ran the fig doctor these errors came up so i ran the 'fig install --dotfiles' and it did nothing. tried changing directories and running the --dotfiles still did nothing.
Opened my ~/.zshrc file hoping to see this.
but instead got this and it's just constantly adding and modifying so when I edit and save the file it's already begun modifying itself again.
when i restart and open a new terminal these are the errors i get.
despite the fact that file is in the shell folder.
I've tried completely uninstalling fig deleting all files related to it and starting again and it just does the same thing.
Details:
OS Fig Shell
macOS 12.3.1 (21E258) 1.0.57 zsh
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"Apr 28, 2022, 11:57 AM PDT"
1394,1394,CD command is slow and sometimes doesn't work in Mac - ZSH,"Description:
Screen.Recording.2022-04-28.at.16.05.02.mov
Details:
OS Fig Shell
macOS 11.6.4 (20G417) 1.0.57 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['awaiting user reply', 'bug', 'module:pseudoterminal']","Apr 28, 2022, 12:07 PM PDT"
1395,1395,Terminal VS Code - Bash terminal,"Description:
Fig doesn't seem to be working when i type in terminal of VS Code.
Details:
OS Fig Shell
macOS 12.2.0 (21D49) 1.0.57 /bin/bash
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"Apr 29, 2022, 2:17 AM PDT"
1396,1396,Fig not showing suggestions anymore,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Details:
OS Fig Shell
macOS 12.3.1 (21E258) 1.0.57 fish
fig diagnostic",No Fig Diagnostic Found,['None yet'],"Apr 30, 2022, 8:33 AM PDT"
1397,1397,Crash blank screen after then Customize Theme during MacOS installation,"Description:
Unable to complete the installation, whether downloading dmg or brew
Details:
macOS Fig Shell
10.15.7 Version 1.0.56 (B414) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,['awaiting user reply'],"Apr 30, 2022, 10:59 AM PDT"
1398,1398,brew uninstall script deletes too much,"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
I have run fig doctor in the affected terminal session
I have typed 'git ' and included a screenshot of the Debugger (click the Fig icon in the macOS menu bar)
Issue Details
Description:
For the 4th time, after installing and cutomising Fig, it uninstalls itself after a few days of normal and correct use.
The uninstall screen pops up:
And Fig is gone, together with my .fig folder and all custom settings.
I have no idea about what could be triggering this uninstall.
Environment
MacBook Pro M1 Max.
MacOs 12.3.1",No Fig Diagnostic Found,"['brew', 'codebase:cli']","May 1, 2022, 10:39 AM PDT"
1399,1399,Escape when autocomplete visible moves focus in PhpStorm,If I hit Esc key then for some reason the focus/cursor jumps to the editor tab and out of the terminal,No Fig Diagnostic Found,"['codebase:autocomplete-app', 'type:bug']","May 1, 2022, 6:23 PM PDT"
1400,1400,Unable to see process arguments in window title,"I want to see the host of connection like it is without fig installed:

ssh production_host or ssh qa_host etc. not just ssh. And I checked the ‘Arguments’ box in tab’s preference but it didn’t help/
With fig installed, ssh arguments aren't shown:",No Fig Diagnostic Found,"['codebase:_UNSURE_', 'terminal:macOS', 'type:bug']","May 1, 2022, 6:29 PM PDT"
1401,1401,Auto Complete is not working after pushing commands dynamically to additionalSuggestions prop,"Description:
I'm auto-generating commands by parsing an array of scripts that I added through the TS file and pushing them through additionalSuggestions. I re-verified that the commands are generated correctly as expected. However, the autocomplete is not displaying anything. It is blank.
Details:
OS Fig Shell
macOS 11.6.2 (20G314) 1.0.57 /bin/zsh
fig diagnostic
Sample Code here
const completionSpec: Fig.Spec = {
  name: ""_shortcuts"",
  description: ""App Shortcuts ...."",
  additionalSuggestions: [
    {
      icon: ""🛠"",
      name: ""Start dev server"",
      insertValue: ""\b\bnpm run dev"",
      description: ""Start the dev server"",
    }
  ],
  subcommands: [],
};

//----------------------------------------------------------
// Create suggestions for App and library Scripts
//----------------------------------------------------------
[appScripts].forEach((scripts: ScriptItem[]) => {
  scripts.forEach((script) => {
    script.commands.forEach((command: ScriptCommand) => {
      insertCommand(script, command);
    });
  });
});

export default completionSpec;
insertCommand - Generates Fig.Suggestion",No Fig Diagnostic Found,['None yet'],"May 2, 2022, 2:24 AM PDT"
1402,1402,Something went wrong when trying to open Settings window,"Description:
When I try to open fig settings window I see the UI loading and after a few seconds I see a ""Something went wrong :("" text with a Try again button.
Details:
OS Fig Shell
macOS 12.3.1 (21E258) 1.0.57 /bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['bug', 'codebase:mission-control']","May 2, 2022, 3:55 AM PDT"
1403,1403,Daemon error,"Description:
Please include a detailed description of the issue (and an image or screen recording, if applicable)
Fig seems to work, but fig doctor gives:
✘ Daemon: Daemon is not running
  Init system: Launchd
Attempting to fix automatically...
Failed to fix: Could not start daemon: Load failed: 5: Input/output error
Try running `launchctl bootstrap` as root for richer errors.
I'm on MacOS 12.3.1 on Intel
I have installed the following plugins
Details:
macOS Fig Shell
12.3.1 Version 1.0.57 (B440) /bin/zsh
fig diagnostic",No Fig Diagnostic Found,"['bug', 'codebase:cli']","May 2, 2022, 5:45 AM PDT"
1404,1404,getting error 'fig_precmd:1: permission denied:',"Sanity checks
I have searched github.com/withfig/fig/issues and there are no duplicates of my issue
I have run fig doctor in the affected terminal session
I have typed 'git ' and included a screenshot of the Debugger (click the Fig icon in the macOS menu bar)
Issue Details
Description:
Any time I start my terminal or type any command, I get an error 'fig_precmd:1: permission denied:' followed by a file path to a pCloud folder on my computer. Fig doctor says everything is fine, as does the debugger on the menu bar. If I try to autocomplete that folder it says:
(eval):4: permission denied: /Users/tbtriggs/pCloud Local (eval):8: permission denied: /Users/tbtriggs/pCloud Local (eval):9: permission denied: /Users/tbtriggs/pCloud Local (eval):10: permission denied: /Users/tbtriggs/pCloud Local
Otherwise, everything seems to be working ok. But just can't figure out what that error is or remove it.
Environment
## Fig details:
  - Fig version: Version 1.0.57 (B440) [U.S.]
  - Bundle path: /Applications/Fig.app
  - Autocomplete: true
  - Settings.json: true
  - Accessibility: true
  - Number of specs: 0
  - Symlinked dotfiles: false
  - Only insert on tab: false
  - Keybindings path: 
  - Installation Script: true
  - PseudoTerminal Path: /Users/tbtriggs/.cabal/bin:/Users/tbtriggs/.ghcup/bin:/opt/homebrew/bin:/opt/homebrew/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Users/tbtriggs/.fig/bin:/Users/tbtriggs/.local/bin
  - SecureKeyboardInput: false
  - SecureKeyboardProcess: <none>
## Hardware Info:
  - Model Name: MacBook Air
  - Model Identifier: MacBookAir10,1
  - Chip: Apple M1
  - Cores: 8 (4 performance and 4 efficiency)
  - Memory: 16 GB
## OS Info:
  - macOS 12.3.1 (21E258)
## Environment:
  - User Shell: /bin/zsh
  - Current Directory: /Users/tbtriggs
  - CLI Installed: true
  - Executable Location: /Users/tbtriggs/.fig/bin/fig
  - Current Window ID: 165/% (com.apple.Terminal)
  - Active Process: zsh (2676) - /dev/ttys006
  - Environment Variables:
    - TERM=xterm-256color
    - TERM_SESSION_ID=B25F5ACB-36C3-40F6-B8C6-E00BBEFDED1C
    - PATH=/Users/tbtriggs/.cabal/bin:/Users/tbtriggs/.ghcup/bin:/opt/homebrew/bin:/opt/homebrew/sbin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Users/tbtriggs/.fig/bin:/Users/tbtriggs/.local/bin
    - FIG_INTEGRATION_VERSION=8
    - FIG_TERM=1
    - FIG_TERM_VERSION=4.3.0
    - FIG_PID=2676
## Integrations:
  - SSH: false
  - TMUX: false
  - iTerm: application is not present.
  - Hyper: application is not present.
  - Visual Studio Code: installed!
  - Docker: false",No Fig Diagnostic Found,"['awaiting user reply', 'codebase:shell-integrations']","May 2, 2022, 1:31 PM PDT"
